FID,Site,Sample_Date,Week_Dates,Week,Day,Month,Test,Gene_Copies_per_Liter,Date_Updated
309,TP02,2021/01/17 06:59:59+00,2021/01/11-01/17/2021,2021.03,Average,(01) January,covid,1505667,2021/01/20 06:59:59+00
310,TP03,2021/01/17 06:59:59+00,2021/01/11-01/17/2021,2021.03,Average,(01) January,covid,5000,2021/01/20 06:59:59+00
311,TP04,2021/01/17 06:59:59+00,2021/01/11-01/17/2021,2021.03,Average,(01) January,covid,1298100,2021/01/20 06:59:59+00
312,TP05,2021/01/17 06:59:59+00,2021/01/11-01/17/2021,2021.03,Average,(01) January,covid,1361567,2021/01/20 06:59:59+00
313,TP06,2021/01/17 06:59:59+00,2021/01/11-01/17/2021,2021.03,Average,(01) January,covid,1892100,2021/01/20 06:59:59+00
314,TP07,2021/01/17 06:59:59+00,2021/01/11-01/17/2021,2021.03,Average,(01) January,covid,763167,2021/01/20 06:59:59+00
315,Guadalupe,2021/01/17 06:59:59+00,2021/01/11-01/17/2021,2021.03,Average,(01) January,covid,3599600,2021/01/20 06:59:59+00
317,TP02,2021/01/24 06:59:59+00,2021/01/18-01/24/2021,2021.04,Average,(01) January,covid,1167667,2021/02/08 06:59:59+00
318,TP03,2021/01/24 06:59:59+00,2021/01/18-01/24/2021,2021.04,Average,(01) January,covid,5000,2021/01/28 06:59:59+00
319,TP04,2021/01/24 06:59:59+00,2021/01/18-01/24/2021,2021.04,Average,(01) January,covid,405167,2021/01/28 06:59:59+00
320,TP05,2021/01/24 06:59:59+00,2021/01/18-01/24/2021,2021.04,Average,(01) January,covid,193867,2021/01/28 06:59:59+00
321,TP06,2021/01/24 06:59:59+00,2021/01/18-01/24/2021,2021.04,Average,(01) January,covid,2513400,2021/01/28 06:59:59+00
322,TP07,2021/01/24 06:59:59+00,2021/01/18-01/24/2021,2021.04,Average,(01) January,covid,795767,2021/01/28 06:59:59+00
