FID,Site,Sample_Date,Week_Dates,Week,Day,Month,Test,Gene_Copies_per_Liter,Date_Updated
147,TP01,2020/09/06 06:59:59+00,2020/08/31-9/6/2020,2020.36,Average,(09) September,covid,159367,2020/09/10 06:59:59+00
148,TP02,2020/09/06 06:59:59+00,2020/08/31-9/6/2020,2020.36,Average,(09) September,covid,236336,2020/11/06 06:59:59+00
149,TP03,2020/09/06 06:59:59+00,2020/08/31-9/6/2020,2020.36,Average,(09) September,covid,5000,2020/09/10 06:59:59+00
158,TP04,2020/09/06 06:59:59+00,2020/08/31-9/6/2020,2020.36,Average,(09) September,covid,5000,2020/09/10 06:59:59+00
159,TP05,2020/09/06 06:59:59+00,2020/08/31-9/6/2020,2020.36,Average,(09) September,covid,5000,2020/09/10 06:59:59+00
160,TP06,2020/09/06 06:59:59+00,2020/08/31-9/6/2020,2020.36,Average,(09) September,covid,1155467,2020/09/10 06:59:59+00
161,TP07,2020/09/06 06:59:59+00,2020/08/31-9/6/2020,2020.36,Average,(09) September,covid,368333,2020/09/10 06:59:59+00
162,Guadalupe,2020/09/06 06:59:59+00,2020/08/31-9/6/2020,2020.36,Average,(09) September,covid,5000,2020/09/10 06:59:59+00
163,TP01,2020/09/13 06:59:59+00,2020/09/07-09/13/2020,2020.37,Average,(09) September,covid,159900,2020/09/21 06:59:59+00
164,TP02,2020/09/13 06:59:59+00,2020/09/07-09/13/2020,2020.37,Average,(09) September,covid,10558,2020/11/06 06:59:59+00
165,TP03,2020/09/13 06:59:59+00,2020/09/07-09/13/2020,2020.37,Average,(09) September,covid,5000,2020/09/18 06:59:59+00
166,TP04,2020/09/13 06:59:59+00,2020/09/07-09/13/2020,2020.37,Average,(09) September,covid,390633,2020/09/18 06:59:59+00
167,TP05,2020/09/13 06:59:59+00,2020/09/07-09/13/2020,2020.37,Average,(09) September,covid,38133,2020/09/21 06:59:59+00
168,TP06,2020/09/13 06:59:59+00,2020/09/07-09/13/2020,2020.37,Average,(09) September,covid,3909967,2020/09/21 06:59:59+00
169,TP07,2020/09/13 06:59:59+00,2020/09/07-09/13/2020,2020.37,Average,(09) September,covid,973033,2020/09/21 06:59:59+00
170,Guadalupe,2020/09/13 06:59:59+00,2020/09/07-09/13/2020,2020.37,Average,(09) September,covid,5000,2020/09/18 06:59:59+00
171,TP01,2020/09/20 06:59:59+00,2020/09/14-09/20/2020,2020.38,Average,(09) September,covid,102800,2020/09/25 06:59:59+00
172,TP02,2020/09/20 06:59:59+00,2020/09/14-09/20/2020,2020.38,Average,(09) September,covid,595633,2020/11/06 06:59:59+00
173,TP03,2020/09/20 06:59:59+00,2020/09/14-09/20/2020,2020.38,Average,(09) September,covid,5000,2020/09/21 06:59:59+00
174,TP04,2020/09/20 06:59:59+00,2020/09/14-09/20/2020,2020.38,Average,(09) September,covid,130333,2020/09/25 06:59:59+00
175,TP05,2020/09/20 06:59:59+00,2020/09/14-09/20/2020,2020.38,Average,(09) September,covid,5000,2020/09/21 06:59:59+00
176,TP06,2020/09/20 06:59:59+00,2020/09/14-09/20/2020,2020.38,Average,(09) September,covid,705767,2020/09/25 06:59:59+00
177,TP07,2020/09/20 06:59:59+00,2020/09/14-09/20/2020,2020.38,Average,(09) September,covid,463300,2020/09/21 06:59:59+00
178,Guadalupe,2020/09/20 06:59:59+00,2020/09/14-09/20/2020,2020.38,Average,(09) September,covid,5000,2020/09/21 06:59:59+00
179,TP01,2020/09/27 06:59:59+00,2020/09/21-09/27/2020,2020.39,Average,(09) September,covid,25700,2020/10/09 06:59:59+00
180,TP02,2020/09/27 06:59:59+00,2020/09/21-09/27/2020,2020.39,Average,(09) September,covid,423733,2020/11/06 06:59:59+00
181,TP03,2020/09/27 06:59:59+00,2020/09/21-09/27/2020,2020.39,Average,(09) September,covid,5000,2020/10/02 06:59:59+00
182,TP04,2020/09/27 06:59:59+00,2020/09/21-09/27/2020,2020.39,Average,(09) September,covid,47967,2020/10/09 06:59:59+00
183,TP05,2020/09/27 06:59:59+00,2020/09/21-09/27/2020,2020.39,Average,(09) September,covid,5000,2020/10/02 06:59:59+00
184,TP06,2020/09/27 06:59:59+00,2020/09/21-09/27/2020,2020.39,Average,(09) September,covid,479333,2020/10/09 06:59:59+00
185,TP07,2020/09/27 06:59:59+00,2020/09/21-09/27/2020,2020.39,Average,(09) September,covid,264133,2020/10/09 06:59:59+00
186,Guadalupe,2020/09/27 06:59:59+00,2020/09/21-09/27/2020,2020.39,Average,(09) September,covid,76933,2020/10/09 06:59:59+00
187,TP01,2020/10/04 06:59:59+00,2020/09/28-10/4/2020,2020.4,Average,(09) September,covid,106267,2020/10/09 06:59:59+00
188,TP02,2020/10/04 06:59:59+00,2020/09/28-10/4/2020,2020.4,Average,(09) September,covid,214333,2020/10/09 06:59:59+00
189,TP03,2020/10/04 06:59:59+00,2020/09/28-10/4/2020,2020.4,Average,(09) September,covid,47467,2020/10/09 06:59:59+00
190,TP04,2020/10/04 06:59:59+00,2020/09/28-10/4/2020,2020.4,Average,(09) September,covid,5000,2020/10/09 06:59:59+00
191,TP05,2020/10/04 06:59:59+00,2020/09/28-10/4/2020,2020.4,Average,(09) September,covid,5000,2020/10/09 06:59:59+00
